"";"CODGEO";"activites";"pensions";"patrimoine";"prestasoc";"clust"
"1";"13010";74,4;29;12;3,9;"3"
"2";"13018";73,6;23,6;13,9;5,7;"4"
"3";"13027";74,3;25;11,1;6,5;"4"
"4";"13034";NA;NA;NA;NA;"3"
"5";"13036";72,5;28,1;14;4,2;"3"
"6";"13045";79,5;23,4;10,4;5,1;"4"
"7";"13052";77,8;22;15,7;4,1;"4"
"8";"13064";73,3;30,3;11,3;3,4;"3"
"9";"13066";74,7;25,1;13,3;4,4;"4"
"10";"13076";78;24,3;8,9;5,4;"4"
"11";"13083";71,5;29,9;12,9;4,2;"3"
"12";"13089";73,7;22,9;14,4;5,6;"4"
"13";"13116";NA;NA;NA;NA;"3"
"14";"30011";67;37,1;12,6;3,4;"2"
"15";"30351";70,7;32,6;18,6;2,8;"2"
"16";"84001";76,9;25,5;11,2;4;"4"
"17";"84004";72,6;28,5;10,6;5,3;"3"
"18";"84007";65,6;28,6;8,6;12,8;"1"
"19";"84012";66,1;31,5;16,1;4,5;"2"
"20";"84013";NA;NA;NA;NA;"3"
"21";"84016";71,8;29,1;10,8;4,8;"3"
"22";"84025";NA;NA;NA;NA;"3"
"23";"84027";73;27,9;11,1;4,4;"3"
"24";"84030";65,4;33,9;13,6;4,7;"2"
"25";"84031";63,8;31,2;10,4;10,2;"1"
"26";"84034";74,8;28,3;11,1;4,1;"3"
"27";"84035";67,8;29,5;9,6;8,9;"1"
"28";"84036";74,6;30,4;11,9;3;"3"
"29";"84038";73,3;27,5;13,9;3,2;"3"
"30";"84039";73,7;23,6;14,4;5,7;"4"
"31";"84043";75,1;27,7;8,3;4,9;"3"
"32";"84050";NA;NA;NA;NA;"3"
"33";"84051";NA;NA;NA;NA;"3"
"34";"84054";65,4;35,3;12,3;5,1;"2"
"35";"84055";NA;NA;NA;NA;"3"
"36";"84056";75,4;24,4;10,7;5,5;"4"
"37";"84062";NA;NA;NA;NA;"3"
"38";"84067";76,3;26,4;12,6;3,4;"4"
"39";"84071";NA;NA;NA;NA;"3"
"40";"84072";67,5;33,7;12,3;4,3;"2"
"41";"84073";NA;NA;NA;NA;"3"
"42";"84077";NA;NA;NA;NA;"3"
"43";"84080";74;25,2;10,4;6,5;"4"
"44";"84081";71,6;32,3;9,4;4,7;"3"
"45";"84086";NA;NA;NA;NA;"3"
"46";"84087";65,7;31,8;9,9;8,4;"1"
"47";"84088";70,3;30,9;14,7;3,8;"2"
"48";"84092";66,4;32;6,9;9,4;"1"
"49";"84099";69,6;31;12,9;4,1;"2"
"50";"84108";NA;NA;NA;NA;"3"
"51";"84114";NA;NA;NA;NA;"3"
"52";"84119";76,4;27,3;11,8;3,9;"4"
"53";"84122";71,7;27,3;12,7;5,3;"3"
"54";"84124";NA;NA;NA;NA;"3"
"55";"84129";71,5;26;8,4;8,7;"3"
"56";"84131";NA;NA;NA;NA;"3"
"57";"84132";75,9;26,4;11,3;4,4;"4"
"58";"84139";NA;NA;NA;NA;"3"
"59";"84141";77,4;25,1;8,2;5,7;"4"
"60";"84142";68,1;33,8;12,3;3,6;"2"
