"";"CODGEO";"activites";"pensions";"patrimoine";"prestasoc";"clust"
"1";"13010";86,2;17,1;6,6;10,3;"3"
"3";"13027";77,5;13,1;7,1;15,7;"2"
"4";"13034";NA;NA;NA;NA;"2"
"5";"13036";81,1;16,7;6,3;11,5;"3"
"6";"13045";80,5;14,3;5,5;13,2;"2"
"7";"13052";81,1;11,8;6,5;14,1;"2"
"8";"13064";81,9;15,7;9,1;8,5;"3"
"9";"13066";76,3;17,1;7,1;12,2;"2"
"10";"13076";81,5;12,5;8,2;11,9;"3"
"11";"13083";78,4;15,2;10,1;11,7;"2"
"12";"13089";74;11;13,2;15,3;"2"
"13";"13116";NA;NA;NA;NA;"2"
"14";"30011";84,3;14,7;9;8,7;"3"
"15";"30351";81,3;16,7;9,3;9,6;"3"
"16";"84001";80,6;13,7;4,5;13,8;"2"
"17";"84004";77,4;13,9;12,9;11,7;"2"
"18";"84007";66,9;13,4;4,6;26,7;"1"
"19";"84012";74,8;20;7,9;12,2;"2"
"20";"84013";NA;NA;NA;NA;"2"
"21";"84016";79,2;13,7;4,7;15;"2"
"22";"84025";NA;NA;NA;NA;"2"
"23";"84027";79,7;17,7;4,8;12,4;"2"
"24";"84030";79,9;16,1;4,4;13;"2"
"25";"84031";69,5;15,7;5,8;21;"1"
"26";"84034";78,5;13,7;8,3;14,9;"2"
"27";"84035";74,1;14,2;4,9;19,4;"1"
"28";"84036";81,1;18,8;8,8;7;"3"
"29";"84038";80;17,4;7,9;9;"3"
"30";"84039";76,6;12,8;4,1;17,7;"2"
"31";"84043";80,7;13,1;5,3;13,7;"2"
"32";"84050";NA;NA;NA;NA;"2"
"33";"84051";NA;NA;NA;NA;"2"
"34";"84054";75,9;18,3;7,3;13,8;"2"
"35";"84055";NA;NA;NA;NA;"2"
"36";"84056";81,1;12,9;5,9;13,9;"2"
"37";"84062";NA;NA;NA;NA;"2"
"38";"84067";87,5;14,4;8,8;8,5;"3"
"39";"84071";NA;NA;NA;NA;"2"
"40";"84072";79,2;14,6;7,5;12,6;"2"
"41";"84073";NA;NA;NA;NA;"2"
"42";"84077";NA;NA;NA;NA;"2"
"43";"84080";79,8;12,4;5;15,8;"2"
"44";"84081";80,8;14,9;4,2;14,1;"2"
"45";"84086";NA;NA;NA;NA;"2"
"46";"84087";68,9;17;5;20,4;"1"
"47";"84088";81,8;15,7;7,3;11;"3"
"48";"84092";70,9;17,5;3,9;19,7;"1"
"49";"84099";82,4;15,8;6,2;10,6;"3"
"50";"84108";NA;NA;NA;NA;"2"
"51";"84114";NA;NA;NA;NA;"2"
"52";"84119";81,8;14,6;9,1;12;"3"
"53";"84122";71,9;16,7;7,7;16,2;"1"
"54";"84124";NA;NA;NA;NA;"2"
"55";"84129";72,7;15;5;18,9;"1"
"56";"84131";NA;NA;NA;NA;"2"
"57";"84132";81;14,6;5,7;12,5;"2"
"58";"84139";NA;NA;NA;NA;"2"
"59";"84141";79,8;14,1;3,4;15,5;"2"
"60";"84142";75,4;21,3;6,1;10,2;"2"
