"";"CODGEO";"TYM5Q218";"TYM5PPSOC18";"TP6018";"TYM5Q3_Q1";"densite";"clust"
"1";"13010";15820;10,3;11;11390;3;"3"
"2";"13018";13520;11,3;17;10000;3;"2"
"3";"13027";13380;15,7;18;9400;2;"1"
"4";"13034";NA;NA;NA;NA;3;"2"
"5";"13036";14550;11,5;14;9710;3;"2"
"6";"13045";15100;13,2;13;9920;2;"2"
"7";"13052";14370;14,1;11;9060;2;"2"
"8";"13064";17970;8,5;10;8780;3;"3"
"9";"13066";15800;12,2;13;7890;3;"2"
"10";"13076";14420;11,9;14;10250;3;"2"
"11";"13083";16670;11,7;10;10610;3;"3"
"12";"13089";13670;15,3;16;9580;3;"2"
"13";"13116";NA;NA;NA;NA;3;"2"
"14";"30011";17800;8,7;10;12540;1;"3"
"15";"30351";17370;9,6;10;12720;1;"3"
"16";"84001";14500;13,8;9;8530;2;"2"
"17";"84004";15030;11,7;15;11040;2;"2"
"18";"84007";9460;26,7;32;8380;1;"1"
"19";"84012";15810;12,2;16;9290;2;"2"
"20";"84013";NA;NA;NA;NA;3;"2"
"21";"84016";14490;15;12;9690;3;"2"
"22";"84025";NA;NA;NA;NA;3;"2"
"23";"84027";15550;12,4;12;12630;3;"3"
"24";"84030";15470;13;13;9400;3;"2"
"25";"84031";11300;21;29;9080;2;"1"
"26";"84034";14950;14,9;12;9100;3;"2"
"27";"84035";11800;19,4;27;8340;2;"1"
"28";"84036";19280;7;NA;12520;2;"3"
"29";"84038";17320;9;9;11400;2;"3"
"30";"84039";12710;17,7;15;9720;3;"1"
"31";"84043";15020;13,7;12;8540;2;"2"
"32";"84050";NA;NA;NA;NA;3;"2"
"33";"84051";NA;NA;NA;NA;3;"2"
"34";"84054";14580;13,8;16;10870;2;"2"
"35";"84055";NA;NA;NA;NA;2;"2"
"36";"84056";14030;13,9;13;9800;3;"2"
"37";"84062";NA;NA;NA;NA;3;"2"
"38";"84067";18240;8,5;12;11640;3;"3"
"39";"84071";NA;NA;NA;NA;3;"2"
"40";"84072";14660;12,6;15;9680;2;"2"
"41";"84073";NA;NA;NA;NA;3;"2"
"42";"84077";NA;NA;NA;NA;3;"2"
"43";"84080";13590;15,8;18;9570;2;"2"
"44";"84081";15990;14,1;11;10180;1;"2"
"45";"84086";NA;NA;NA;NA;3;"2"
"46";"84087";11770;20,4;23;8930;2;"1"
"47";"84088";15940;11;12;10490;2;"2"
"48";"84092";12600;19,7;23;9450;1;"1"
"49";"84099";15960;10,6;11;10210;2;"2"
"50";"84108";NA;NA;NA;NA;2;"2"
"51";"84114";NA;NA;NA;NA;3;"2"
"52";"84119";16730;12;9;12020;2;"3"
"53";"84122";12620;16,2;16;8450;3;"1"
"54";"84124";NA;NA;NA;NA;3;"2"
"55";"84129";12780;18,9;22;8760;2;"1"
"56";"84131";NA;NA;NA;NA;2;"2"
"57";"84132";15500;12,5;13;10770;2;"2"
"58";"84139";NA;NA;NA;NA;3;"2"
"59";"84141";14360;15,5;12;9590;2;"2"
"60";"84142";15200;10,2;12;10070;3;"2"
